Date,Magasin,Employé_ID,Rôle,Heure_début,Heure_fin
2024-01-01,Magasin_1,E1_Magasin_1,Employé polyvalent,10:00,17:00
2024-01-01,Magasin_1,E2_Magasin_1,Caissier,11:00,19:00
2024-01-01,Magasin_1,E3_Magasin_1,Employé polyvalent,7:00,13:00
2024-01-01,Magasin_1,E4_Magasin_1,Manager,13:00,21:00
2024-01-01,Magasin_2,E1_Magasin_2,Manager,9:00,17:00
2024-01-01,Magasin_2,E2_Magasin_2,Caissier,9:00,16:00
2024-01-01,Magasin_2,E3_Magasin_2,Manager,11:00,18:00
2024-01-01,Magasin_2,E4_Magasin_2,Caissier,10:00,17:00
2024-01-01,Magasin_3,E1_Magasin_3,Employé polyvalent,11:00,17:00
2024-01-01,Magasin_3,E2_Magasin_3,Caissier,7:00,15:00
2024-01-01,Magasin_3,E3_Magasin_3,Caissier,13:00,21:00
2024-01-01,Magasin_3,E4_Magasin_3,Caissier,13:00,20:00
2024-01-01,Magasin_4,E1_Magasin_4,Caissier,11:00,19:00
2024-01-01,Magasin_4,E2_Magasin_4,Caissier,8:00,14:00
2024-01-01,Magasin_4,E3_Magasin_4,Manager,7:00,15:00
2024-01-01,Magasin_4,E4_Magasin_4,Manager,8:00,14:00
2024-01-01,Magasin_5,E1_Magasin_5,Manager,8:00,16:00
2024-01-01,Magasin_5,E2_Magasin_5,Manager,6:00,14:00
2024-01-01,Magasin_5,E3_Magasin_5,Manager,9:00,16:00
2024-01-01,Magasin_5,E4_Magasin_5,Employé polyvalent,11:00,17:00
2024-01-02,Magasin_1,E1_Magasin_1,Caissier,6:00,13:00
2024-01-02,Magasin_1,E2_Magasin_1,Caissier,9:00,16:00
2024-01-02,Magasin_1,E3_Magasin_1,Employé polyvalent,12:00,20:00
2024-01-02,Magasin_1,E4_Magasin_1,Caissier,11:00,19:00
2024-01-02,Magasin_2,E1_Magasin_2,Manager,12:00,18:00
2024-01-02,Magasin_2,E2_Magasin_2,Employé polyvalent,12:00,19:00
2024-01-02,Magasin_2,E3_Magasin_2,Employé polyvalent,7:00,15:00
2024-01-02,Magasin_2,E4_Magasin_2,Caissier,13:00,21:00
2024-01-02,Magasin_3,E1_Magasin_3,Manager,11:00,19:00
2024-01-02,Magasin_3,E2_Magasin_3,Manager,6:00,13:00
2024-01-02,Magasin_3,E3_Magasin_3,Employé polyvalent,11:00,19:00
2024-01-02,Magasin_3,E4_Magasin_3,Caissier,12:00,20:00
2024-01-02,Magasin_4,E1_Magasin_4,Caissier,12:00,20:00
2024-01-02,Magasin_4,E2_Magasin_4,Employé polyvalent,11:00,18:00
2024-01-02,Magasin_4,E3_Magasin_4,Caissier,9:00,16:00
2024-01-02,Magasin_4,E4_Magasin_4,Caissier,13:00,20:00
2024-01-02,Magasin_5,E1_Magasin_5,Manager,7:00,15:00
2024-01-02,Magasin_5,E2_Magasin_5,Employé polyvalent,8:00,15:00
2024-01-02,Magasin_5,E3_Magasin_5,Caissier,13:00,21:00
2024-01-02,Magasin_5,E4_Magasin_5,Manager,10:00,17:00
2024-01-03,Magasin_1,E1_Magasin_1,Employé polyvalent,11:00,19:00
2024-01-03,Magasin_1,E2_Magasin_1,Manager,7:00,15:00
2024-01-03,Magasin_1,E3_Magasin_1,Employé polyvalent,6:00,13:00
2024-01-03,Magasin_1,E4_Magasin_1,Manager,12:00,18:00
2024-01-03,Magasin_2,E1_Magasin_2,Employé polyvalent,13:00,19:00
2024-01-03,Magasin_2,E2_Magasin_2,Employé polyvalent,7:00,13:00
2024-01-03,Magasin_2,E3_Magasin_2,Manager,10:00,17:00
2024-01-03,Magasin_2,E4_Magasin_2,Caissier,8:00,15:00
2024-01-03,Magasin_3,E1_Magasin_3,Employé polyvalent,10:00,16:00
2024-01-03,Magasin_3,E2_Magasin_3,Manager,10:00,17:00
2024-01-03,Magasin_3,E3_Magasin_3,Caissier,9:00,17:00
2024-01-03,Magasin_3,E4_Magasin_3,Caissier,6:00,13:00
2024-01-03,Magasin_4,E1_Magasin_4,Manager,12:00,18:00
2024-01-03,Magasin_4,E2_Magasin_4,Employé polyvalent,6:00,14:00
2024-01-03,Magasin_4,E3_Magasin_4,Employé polyvalent,7:00,15:00
2024-01-03,Magasin_4,E4_Magasin_4,Caissier,7:00,15:00
2024-01-03,Magasin_5,E1_Magasin_5,Employé polyvalent,6:00,14:00
2024-01-03,Magasin_5,E2_Magasin_5,Manager,13:00,21:00
2024-01-03,Magasin_5,E3_Magasin_5,Caissier,12:00,18:00
2024-01-03,Magasin_5,E4_Magasin_5,Caissier,10:00,18:00
2024-01-04,Magasin_1,E1_Magasin_1,Caissier,11:00,18:00
