Date,Magasin,Produit_ID,Quantité_vendue,Canal
2024-01-01,Magasin_1,Produit_8,2,Sur place
2024-01-01,Magasin_1,Produit_4,6,Sur place
2024-01-01,Magasin_1,Produit_5,7,À emporter
2024-01-01,Magasin_1,Produit_2,2,Sur place
2024-01-01,Magasin_1,Produit_19,5,À emporter
2024-01-01,Magasin_1,Produit_10,5,Sur place
2024-01-01,Magasin_1,Produit_17,6,À emporter
2024-01-01,Magasin_1,Produit_14,4,À emporter
2024-01-01,Magasin_1,Produit_11,6,Sur place
2024-01-01,Magasin_1,Produit_3,6,À emporter
2024-01-01,Magasin_2,Produit_5,1,Sur place
2024-01-01,Magasin_2,Produit_3,7,Sur place
2024-01-01,Magasin_2,Produit_17,2,Sur place
2024-01-01,Magasin_2,Produit_13,11,À emporter
2024-01-01,Magasin_2,Produit_4,4,Sur place
2024-01-01,Magasin_2,Produit_19,3,Sur place
2024-01-01,Magasin_2,Produit_18,8,À emporter
2024-01-01,Magasin_2,Produit_1,3,Sur place
2024-01-01,Magasin_2,Produit_7,3,À emporter
2024-01-01,Magasin_2,Produit_9,5,Sur place
2024-01-01,Magasin_3,Produit_18,8,À emporter
2024-01-01,Magasin_3,Produit_6,3,À emporter
2024-01-01,Magasin_3,Produit_3,2,À emporter
2024-01-01,Magasin_3,Produit_1,5,Sur place
2024-01-01,Magasin_3,Produit_10,3,Sur place
2024-01-01,Magasin_3,Produit_20,8,À emporter
2024-01-01,Magasin_3,Produit_14,10,À emporter
2024-01-01,Magasin_3,Produit_8,3,À emporter
2024-01-01,Magasin_3,Produit_5,2,Sur place
2024-01-01,Magasin_3,Produit_7,5,À emporter
2024-01-01,Magasin_4,Produit_2,7,À emporter
2024-01-01,Magasin_4,Produit_3,6,Sur place
2024-01-01,Magasin_4,Produit_15,6,Sur place
2024-01-01,Magasin_4,Produit_14,2,Sur place
2024-01-01,Magasin_4,Produit_20,4,Sur place
2024-01-01,Magasin_4,Produit_4,9,Sur place
2024-01-01,Magasin_4,Produit_13,7,À emporter
2024-01-01,Magasin_4,Produit_1,11,Sur place
2024-01-01,Magasin_4,Produit_17,8,Sur place
2024-01-01,Magasin_4,Produit_10,3,À emporter
2024-01-01,Magasin_5,Produit_13,2,À emporter
2024-01-01,Magasin_5,Produit_19,3,Sur place
2024-01-01,Magasin_5,Produit_17,4,À emporter
2024-01-01,Magasin_5,Produit_9,5,À emporter
2024-01-01,Magasin_5,Produit_14,5,À emporter
2024-01-01,Magasin_5,Produit_10,4,Sur place
2024-01-01,Magasin_5,Produit_2,3,À emporter
2024-01-01,Magasin_5,Produit_20,8,À emporter
2024-01-01,Magasin_5,Produit_5,2,Sur place
2024-01-01,Magasin_5,Produit_4,1,À emporter
2024-01-02,Magasin_1,Produit_3,4,Sur place
2024-01-02,Magasin_1,Produit_18,5,Sur place
2024-01-02,Magasin_1,Produit_17,4,Sur place
2024-01-02,Magasin_1,Produit_12,3,À emporter
2024-01-02,Magasin_1,Produit_2,4,À emporter
2024-01-02,Magasin_1,Produit_8,8,Sur place
2024-01-02,Magasin_1,Produit_15,2,À emporter
2024-01-02,Magasin_1,Produit_5,2,À emporter
2024-01-02,Magasin_1,Produit_13,2,Sur place
2024-01-02,Magasin_1,Produit_9,7,Sur place
2024-01-02,Magasin_2,Produit_10,6,Sur place
2024-01-02,Magasin_2,Produit_16,7,Sur place
2024-01-02,Magasin_2,Produit_13,6,À emporter
2024-01-02,Magasin_2,Produit_19,7,À emporter
2024-01-02,Magasin_2,Produit_15,6,À emporter
2024-01-02,Magasin_2,Produit_1,4,À emporter
2024-01-02,Magasin_2,Produit_2,2,À emporter
2024-01-02,Magasin_2,Produit_5,3,À emporter
2024-01-02,Magasin_2,Produit_3,4,À emporter
2024-01-02,Magasin_2,Produit_9,7,Sur place
2024-01-02,Magasin_3,Produit_20,4,À emporter
2024-01-02,Magasin_3,Produit_18,3,À emporter
2024-01-02,Magasin_3,Produit_13,2,Sur place
2024-01-02,Magasin_3,Produit_14,6,À emporter
2024-01-02,Magasin_3,Produit_4,3,Sur place
2024-01-02,Magasin_3,Produit_16,5,Sur place
2024-01-02,Magasin_3,Produit_8,9,À emporter
2024-01-02,Magasin_3,Produit_3,6,À emporter
2024-01-02,Magasin_3,Produit_15,6,À emporter
2024-01-02,Magasin_3,Produit_2,9,Sur place
2024-01-02,Magasin_4,Produit_19,4,Sur place
2024-01-02,Magasin_4,Produit_6,9,À emporter
